#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,target
,,2,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:14:20Z,0,packet_loss_percent,network_metrics,1.1.1.1
,,2,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:16:10Z,0,packet_loss_percent,network_metrics,1.1.1.1
,,2,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:18:10Z,0,packet_loss_percent,network_metrics,1.1.1.1
,,3,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T22:55:50Z,0.00661468505859375,bandwidth_mbps,network_metrics,150.171.27.11
,,3,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T22:57:50Z,34.53496551513672,bandwidth_mbps,network_metrics,150.171.27.11
,,3,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T22:59:40Z,0.1799468994140625,bandwidth_mbps,network_metrics,150.171.27.11
,,3,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:01:30Z,2.5987014770507812,bandwidth_mbps,network_metrics,150.171.27.11
,,3,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:03:30Z,1.9753265380859375,bandwidth_mbps,network_metrics,150.171.27.11
,,3,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:05:20Z,0.0537261962890625,bandwidth_mbps,network_metrics,150.171.27.11
,,3,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:07:20Z,0.0034332275390625,bandwidth_mbps,network_metrics,150.171.27.11
,,3,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:09:10Z,0.7645034790039062,bandwidth_mbps,network_metrics,150.171.27.11
,,3,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:11:10Z,0.0480804443359375,bandwidth_mbps,network_metrics,150.171.27.11
,,3,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:13:00Z,0.03478240966796875,bandwidth_mbps,network_metrics,150.171.27.11
,,3,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:14:50Z,3.344512939453125,bandwidth_mbps,network_metrics,150.171.27.11
,,3,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:16:50Z,8.674278259277344,bandwidth_mbps,network_metrics,150.171.27.11
,,4,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T22:55:50Z,27,latency_ms,network_metrics,150.171.27.11
,,4,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T22:57:50Z,29,latency_ms,network_metrics,150.171.27.11
,,4,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T22:59:40Z,26,latency_ms,network_metrics,150.171.27.11
,,4,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:01:30Z,29,latency_ms,network_metrics,150.171.27.11
,,4,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:03:30Z,27,latency_ms,network_metrics,150.171.27.11
,,4,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:05:20Z,29,latency_ms,network_metrics,150.171.27.11
,,4,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:07:20Z,26,latency_ms,network_metrics,150.171.27.11
,,4,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:09:10Z,26,latency_ms,network_metrics,150.171.27.11
,,4,2025-11-12T22:22:20.5198164Z,2025-11-12T23:22:20.5198164Z,2025-11-12T23:11:10Z,26,latency_ms,network_metrics,150.171.27.11
