#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,target
,,4,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:32:00Z,301,latency_ms,network_metrics,150.171.27.11
,,4,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:36:00Z,88,latency_ms,network_metrics,150.171.27.11
,,4,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:40:00Z,103,latency_ms,network_metrics,150.171.27.11
,,4,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:44:00Z,103.5,latency_ms,network_metrics,150.171.27.11
,,5,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:16:00Z,0,packet_loss_percent,network_metrics,150.171.27.11
,,5,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:20:00Z,10,packet_loss_percent,network_metrics,150.171.27.11
,,5,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:24:00Z,20,packet_loss_percent,network_metrics,150.171.27.11
,,5,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:28:00Z,30,packet_loss_percent,network_metrics,150.171.27.11
,,5,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:32:00Z,40,packet_loss_percent,network_metrics,150.171.27.11
,,5,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:36:00Z,0,packet_loss_percent,network_metrics,150.171.27.11
,,5,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:40:00Z,0,packet_loss_percent,network_metrics,150.171.27.11
,,5,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:44:00Z,0,packet_loss_percent,network_metrics,150.171.27.11
,,6,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:16:00Z,0.28141021728515625,bandwidth_mbps,network_metrics,8.8.8.8
,,6,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:20:00Z,0.012950897216796875,bandwidth_mbps,network_metrics,8.8.8.8
,,6,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:24:00Z,0.016387939453125,bandwidth_mbps,network_metrics,8.8.8.8
,,6,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:28:00Z,0.01483917236328125,bandwidth_mbps,network_metrics,8.8.8.8
,,6,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:32:00Z,0.8331184387207031,bandwidth_mbps,network_metrics,8.8.8.8
,,6,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:36:00Z,0.006198883056640625,bandwidth_mbps,network_metrics,8.8.8.8
,,6,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:40:00Z,0.0081024169921875,bandwidth_mbps,network_metrics,8.8.8.8
,,6,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:44:00Z,0.052154541015625,bandwidth_mbps,network_metrics,8.8.8.8
,,7,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:16:00Z,96,latency_ms,network_metrics,8.8.8.8
,,7,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:20:00Z,358.5,latency_ms,network_metrics,8.8.8.8
,,7,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:24:00Z,541,latency_ms,network_metrics,8.8.8.8
,,7,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:28:00Z,256,latency_ms,network_metrics,8.8.8.8
,,7,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:32:00Z,462.5,latency_ms,network_metrics,8.8.8.8
,,7,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:36:00Z,91.5,latency_ms,network_metrics,8.8.8.8
,,7,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:40:00Z,97,latency_ms,network_metrics,8.8.8.8
,,7,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:44:00Z,87,latency_ms,network_metrics,8.8.8.8
,,8,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:16:00Z,0,packet_loss_percent,network_metrics,8.8.8.8
,,8,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:20:00Z,10,packet_loss_percent,network_metrics,8.8.8.8
,,8,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:24:00Z,20,packet_loss_percent,network_metrics,8.8.8.8
,,8,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:28:00Z,10,packet_loss_percent,network_metrics,8.8.8.8
,,8,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:32:00Z,0,packet_loss_percent,network_metrics,8.8.8.8
,,8,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:36:00Z,0,packet_loss_percent,network_metrics,8.8.8.8
,,8,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:40:00Z,0,packet_loss_percent,network_metrics,8.8.8.8
,,8,2025-10-17T21:42:30.0218136Z,2025-10-18T21:42:30.0218136Z,2025-10-17T22:44:00Z,0,packet_loss_percent,network_metrics,8.8.8.8

